(0, 34, {'colsample_bytree': 0.6521090350334258, 'learning_rate': 0.4861183415480503, 'max_bin': 512, 'max_depth': 5, 'n_estimators': 2000, 'reg_alpha': 1.3032498766743623, 'reg_lambda': 0.9353876459823077}, -0.6851326664102961, 1.9520916938781738)
(0, 35, {'colsample_bytree': 0.8963434888154596, 'learning_rate': 0.18987591964624045, 'max_bin': 32, 'max_depth': 3, 'n_estimators': 1000, 'reg_alpha': 2.563840740932143, 'reg_lambda': 2.2315036359293634}, -0.7428359730340012, 0.4690210819244385)
(0, 36, {'colsample_bytree': 0.6785963256187502, 'learning_rate': 0.3395407870135427, 'max_bin': 256, 'max_depth': 5, 'n_estimators': 1000, 'reg_alpha': 2.971016842190113, 'reg_lambda': 0.6506909531954218}, -0.6750379548936631, 0.9255805015563965)
(0, 37, {'colsample_bytree': 0.8630782031001007, 'learning_rate': 0.13266118836857532, 'max_bin': 1024, 'max_depth': 2, 'n_estimators': 100, 'reg_alpha': 2.644756197631742, 'reg_lambda': 2.713274927067695}, -1.948754633633475, 0.053323984146118164)
(0, 38, {'colsample_bytree': 0.8457845985018992, 'learning_rate': 0.16334148603323267, 'max_bin': 1024, 'max_depth': 2, 'n_estimators': 5000, 'reg_alpha': 0.9355806620465673, 'reg_lambda': 1.2763546138565278}, -0.6921633877810146, 2.8971335887908936)
(0, 39, {'colsample_bytree': 1.0853376596095856, 'learning_rate': 0.34093972820338475, 'max_bin': 16, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 2.3662182825961096, 'reg_lambda': 0.6883255034131361}, -1.0769986638734403, 0.08522701263427734)
(0, 40, {'colsample_bytree': 1.0802976031150047, 'learning_rate': 0.15784619625401486, 'max_bin': 64, 'max_depth': 6, 'n_estimators': 2000, 'reg_alpha': 0.07698815416359472, 'reg_lambda': 0.6224102263233282}, -0.6255309500588512, 2.25095796585083)
(0, 41, {'colsample_bytree': 0.6246854687515062, 'learning_rate': 0.18808499016711278, 'max_bin': 16, 'max_depth': 2, 'n_estimators': 5000, 'reg_alpha': 0.5593746584680155, 'reg_lambda': 2.4227408065763623}, -1.3730225418642203, 2.199044704437256)
(0, 42, {'colsample_bytree': 0.9470794701392342, 'learning_rate': 0.33842367296434606, 'max_bin': 64, 'max_depth': 6, 'n_estimators': 2000, 'reg_alpha': 2.150579043577781, 'reg_lambda': 1.1881791084218811}, -0.668558719913783, 2.0054337978363037)
(0, 43, {'colsample_bytree': 0.7654213118585089, 'learning_rate': 0.09263991810703931, 'max_bin': 128, 'max_depth': 4, 'n_estimators': 5000, 'reg_alpha': 2.1662419872082457, 'reg_lambda': 0.09135889482480097}, -0.6641442270347809, 3.7077200412750244)
